Complete U.S. State Utilities Directory 2024-2025,,,
,,,
State,Utility Name,Ownership Type,Notes/Details
Alabama,Alabama Power Company,Private (IOU),"Southern Company subsidiary, 1.5M customers"
Alabama,Alabama Municipal Electric Authority,Public,Municipal authority
Alabama,Albertville Municipal Utilities Board,Public,Municipal system
Alabama,Athens Utilities,Public,"Athens, Limestone County"
Alabama,Utilities Board of the City of Cullman,Public,Municipal system
Alabama,Decatur Utilities,Public,"Municipal Utilities Board of Decatur, Morgan County"
Alabama,Florence Utilities,Public,"City of Florence, Lauderdale County"
Alabama,Guntersville Electric Board,Public,Municipal system
Alabama,Huntsville Utilities,Public,"City of Huntsville, Madison County"
Alabama,Scottsboro Electric Power Board,Public,Municipal system
Alabama,Tennessee Valley Authority (TVA),Public,"Federal agency, serves 17 counties"
Alabama,"Arab Electric Cooperative, Inc.",Cooperative,Rural electric cooperative
Alabama,Cherokee Electric Cooperative,Cooperative,Rural electric cooperative
Alabama,Cullman Electric Cooperative,Cooperative,"Cullman city/county, Touchstone Energy"
Alabama,Franklin Electric Cooperatives,Cooperative,"Franklin, Colbert, Lawrence Counties"
Alabama,Joe Wheeler Electric Member Cooperative,Cooperative,"Morgan, Lawrence counties, Touchstone Energy"
Alabama,Marshall-DeKalb Electric Cooperative,Cooperative,Rural electric cooperative
Alabama,PowerSouth Energy Cooperative,Cooperative,G&T cooperative
Alabama,Sand Mountain Electric Cooperative,Cooperative,"DeKalb, Jackson, Marshall, Cherokee counties"
Alabama,Tombigbee Electric Cooperative,Cooperative,"Hamilton, Marion County AL + Mississippi"
Alabama,Wiregrass Electric Cooperative,Cooperative,Rural electric cooperative
Alaska,Alaska Electric Light & Power (AEL&P),Private (IOU),Serves Juneau
Alaska,Anchorage Municipal Light & Power (ML&P),Public,Municipal system
Alaska,Fairbanks Municipal Utilities System (FMUS),Public,Municipal system
Alaska,Alaska Village Electric Cooperative (AVEC),Cooperative,Serves 58 rural communities
Alaska,Chugach Electric Association,Cooperative,Serves Anchorage area
Alaska,Copper Valley Electric Association (CVEA),Cooperative,Rural electric cooperative
Alaska,Golden Valley Electric Association (GVEA),Cooperative,Fairbanks area
Alaska,Kodiak Electric Association (KEA),Cooperative,Kodiak Island
Alaska,Matanuska Electric Association (MEA),Cooperative,Palmer/Wasilla area
Alaska,Homer Electric Association (HEA),Cooperative,Kenai Peninsula
Arizona,Arizona Public Service (APS),Private (IOU),"1.4M customers, 11 of 15 counties"
Arizona,Tucson Electric Power (TEP),Private (IOU),"450,000+ customers, Southern Arizona"
Arizona,UniSource Energy Services,Private (IOU),Rural Arizona
Arizona,Salt River Project (SRP),Public,"1+ million customers, Phoenix metro"
Arizona,Page Power and Water,Public,Municipal system
Arizona,Graham County Electric Cooperative,Cooperative,Rural electric cooperative
Arizona,Mohave Electric Cooperative,Cooperative,Rural electric cooperative
Arizona,Navopache Electric Cooperative,Cooperative,Rural electric cooperative
Arkansas,"Entergy Arkansas, Inc.",Private (IOU),"Major IOU, MISO member"
Arkansas,Southwestern Electric Power Company (SWEPCO),Private (IOU),AEP subsidiary
Arkansas,Arkansas Electric Cooperative Corporation (AECC),Cooperative,G&T cooperative
Arkansas,Associated Electrical Cooperative Incorporated,Cooperative,Distribution cooperative
California,Pacific Gas and Electric Company (PG&E),Private (IOU),Northern/central California
California,Southern California Edison (SCE),Private (IOU),Southern California
California,San Diego Gas & Electric (SDG&E),Private (IOU),San Diego region
California,PacifiCorp (Pacific Power),Private (IOU),Northern California
California,Direct Energy,Private (IOU),Competitive supplier
California,Bear Valley Electric Service,Private (IOU),Small utility
California,Liberty Utilities (CalPeco),Private (IOU),Small utility
California,Los Angeles Department of Water and Power (LADWP),Public,Largest U.S. municipal utility
California,Sacramento Municipal Utility District (SMUD),Public,Municipal utility
California,Alameda Municipal Power,Public,Municipal system
California,Anaheim Public Utilities,Public,Municipal system
California,Azusa Light & Water,Public,Municipal system
California,Burbank Water & Power,Public,Municipal system
California,East Bay Municipal Utility District,Public,Municipal system
California,Glendale Public Service Department,Public,Municipal system
California,Gridley Municipal Utilities,Public,Municipal system
California,Healdsburg Municipal Electric Department,Public,Municipal system
California,Imperial Irrigation District,Public,Irrigation/power district
California,Island Energy,Public,Municipal system
California,Modesto Irrigation District,Public,Irrigation/power district
California,Nevada Irrigation District,Public,Irrigation/power district
California,O'Brien Cogeneration,Public,Power facility
California,Orange County Power Authority,Public,Joint powers authority
California,Pasadena Water & Power,Public,Municipal system
California,Riverside Public Utilities,Public,Municipal system
California,San Francisco Public Utilities Commission,Public,Municipal system
California,Silicon Valley Power,Public,Santa Clara municipal
California,Sierra-Pacific Power,Public,Municipal system
California,Southern California Public Power Authority,Public,Joint powers authority
California,TID Water & Power - Turlock Irrigation District,Public,Irrigation/power district
California,Anza Electric Cooperative,Cooperative,Rural electric cooperative
California,Plumas-Sierra Rural Electric Cooperative,Cooperative,Rural electric cooperative
California,Surprise Valley Electrification Corporation,Cooperative,Rural electric cooperative
California,Valley Electric Association,Cooperative,Rural electric cooperative
Colorado,Xcel Energy (Public Service Company of Colorado),Private (IOU),Denver metro area
Colorado,Black Hills Energy,Private (IOU),Electric and gas
Colorado,Colorado Springs Utilities,Public,Municipal system
Colorado,Platte River Power Authority,Public,"Serves Fort Collins, Loveland, Longmont, Estes Park"
Colorado,City of Fountain Electric,Public,Municipal system
Colorado,CORE Electric Cooperative,Cooperative,"375,000+ residents, 11 counties"
Colorado,"United Power, Inc.",Cooperative,"300,000+ people, northern front range"
Colorado,Intermountain Rural Electrical Association,Cooperative,Rural electric cooperative
Colorado,Tri-State Generation and Transmission Association,Cooperative,"G&T, Touchstone Energy"
Colorado,Poudre Valley Rural Electric Association,Cooperative,Touchstone Energy
Colorado,La Plata Electric Association,Cooperative,Touchstone Energy
Connecticut,Eversource Energy,Private (IOU),"Connecticut Light and Power, 1.2M customers"
Connecticut,AVANGRID (The United Illuminating Company),Private (IOU),Greater New Haven/Bridgeport
Connecticut,Direct Energy,Private (IOU),Competitive supplier
Connecticut,Bozrah Light & Power,Public,Municipal system
Connecticut,Groton Utilities,Public,Municipal system
Connecticut,Norwich Public Utilities,Public,Municipal system
Connecticut,South Norwalk Electric and Water,Public,Municipal system
Connecticut,Wallingford Electric Department,Public,Municipal system
Delaware,Delmarva Power & Light,Private (IOU),"Exelon subsidiary, primary electric"
Delaware,Ambit Energy,Private (IOU),Competitive supplier
Delaware,City of Dover Electric Department,Public,Municipal system
Delaware,City of Milford Electric Department,Public,Municipal system
Delaware,City of Newark Electric Department,Public,Municipal system
Delaware,City of Seaford Electric Department,Public,Municipal system
Delaware,Delaware Municipal Electric Corporation,Public,Municipal authority
Delaware,Lewes Board of Public Works,Public,Municipal system
Delaware,Municipal Services Commission of the City of New Castle,Public,Municipal system
Delaware,Town of Clayton Electric Department,Public,Municipal system
Delaware,Town of Middletown Electric Department,Public,Municipal system
Delaware,Town of Smyrna Electric Department,Public,Municipal system
Delaware,Delaware Electric Cooperative,Cooperative,"Kent & Sussex counties, 84,000 members"
DC,PEPCO (Potomac Electric Power Company),Private (IOU),Exelon subsidiary
DC,Direct Energy,Private (IOU),Competitive supplier
DC,DC Water,Public,Water and sewer authority
Florida,Florida Power & Light (FPL),Private (IOU),"NextEra Energy, 5.9M accounts"
Florida,Duke Energy Florida,Private (IOU),Duke Energy subsidiary
Florida,TECO Energy,Private (IOU),Part of Emera
Florida,Florida Public Utilities,Private (IOU),Part of Chesapeake Utilities
Florida,Gulf Power Company,Private (IOU),Part of NextEra Energy
Florida,Progress Energy Florida,Private (IOU),Part of Duke Energy
Florida,Jacksonville Electric Authority (JEA),Public,Municipal authority
Florida,Orlando Utilities Commission (OUC),Public,Municipal commission
Florida,Beaches Energy Services,Public,Municipal system
Florida,City of Alachua Public Services Department,Public,Municipal system
Florida,City of Bartow Electric Department,Public,Municipal system
Florida,City of Blountstown Electric Department,Public,Municipal system
Florida,City of Bushnell Utilities Department,Public,Municipal system
Florida,City of Chattahoochee Electric Department,Public,Municipal system
Florida,City of Fort Meade Utilities Department,Public,Municipal system
Florida,City of Green Cove Springs Utilities Department,Public,Municipal system
Florida,City of Lake Worth Utilities Department,Public,Municipal system
Florida,City of Moore Haven Utilities Department,Public,Municipal system
Florida,City of Mount Dora Electric Utility,Public,Municipal system
Florida,City of New Smyrna Beach Utilities Commission,Public,Municipal system
Florida,City of Newberry Electric Utility,Public,Municipal system
Florida,City of Quincy Utilities Department,Public,Municipal system
Florida,City of Starke Utilities Department,Public,Municipal system
Florida,City of Tallahassee Utilities,Public,Municipal system
Florida,City of Vero Beach Electric Utilities,Public,Municipal system
Florida,City of Wachula Utilities,Public,Municipal system
Florida,City of Williston Utilities Department,Public,Municipal system
Florida,City of Winter Park Electric Utility Department,Public,Municipal system
Florida,Clewiston Utilities,Public,Municipal system
Florida,Florida Municipal Power Agency,Public,Joint action agency
Florida,Fort Pierce Utilities Authority,Public,Municipal authority
Florida,Gainesville Regional Utilities,Public,Municipal system
Florida,Homestead Public Services,Public,Municipal system
Florida,Keys Energy Services,Public,Municipal system
Florida,Kissimmee Utility Authority,Public,Municipal authority
Florida,Lakeland Electric,Public,Municipal system
Florida,Lake Worth Utilities,Public,Municipal system
Florida,Leesburg Electric Department,Public,Municipal system
Florida,Ocala Electric Utility,Public,Municipal system
Florida,Reedy Creek Energy Services,Public,Special district
Florida,St. Cloud Utilities,Public,Municipal system
Florida,Town of Havana Utilities,Public,Municipal system
Florida,Central Florida Electric Cooperative,Cooperative,Electric cooperative
Florida,Choctawhatchee Electric Cooperative,Cooperative,Electric cooperative
Florida,Clay Electric Cooperative,Cooperative,Electric cooperative
Florida,Escambia River Electric Cooperative,Cooperative,Electric cooperative
Florida,Florida Keys Electric Cooperative,Cooperative,Electric cooperative
Florida,Glades Electric Cooperative,Cooperative,Electric cooperative
Florida,Gulf Coast Electric Cooperative,Cooperative,Electric cooperative
Florida,Lee County Electric Cooperative,Cooperative,Electric cooperative
Florida,Okefenoke Rural Electric Membership Corporation,Cooperative,Electric cooperative
Florida,Peace River Electric Cooperative,Cooperative,Electric cooperative
Florida,PowerSouth Energy Cooperative,Cooperative,G&T cooperative
Florida,Seminole Electric Cooperative,Cooperative,G&T cooperative
Florida,Sumter Electric Cooperative,Cooperative,Electric cooperative
Florida,Suwannee Valley Electric Cooperative,Cooperative,Electric cooperative
Florida,Talquin Electric Cooperative,Cooperative,Electric cooperative
Florida,Tri-County Electric Cooperative,Cooperative,Electric cooperative
Florida,West Florida Electric Cooperative,Cooperative,Electric cooperative
Florida,Withlacoochee River Electric Cooperative,Cooperative,Electric cooperative
Georgia,Georgia Power Company,Private (IOU),"Southern Company, 2.7-2.8M customers"
Georgia,Municipal Electric Authority of Georgia (MEAG Power),Public,Municipal authority
Georgia,Marietta Power,Public,Municipal system
Georgia,Altamaha EMC,Cooperative,Electric membership corporation
Georgia,Amicalola EMC,Cooperative,Electric membership corporation
Georgia,Blue Ridge Mountain EMC,Cooperative,Electric membership corporation
Georgia,Canoochee EMC,Cooperative,Electric membership corporation
Georgia,Carroll EMC,Cooperative,Electric membership corporation
Georgia,Central Georgia EMC,Cooperative,Electric membership corporation
Georgia,Coastal Electric Cooperative,Cooperative,Electric cooperative
Georgia,Cobb EMC,Cooperative,Electric membership corporation
Georgia,Colquitt EMC,Cooperative,Electric membership corporation
Georgia,Coweta-Fayette EMC,Cooperative,Electric membership corporation
Georgia,Diverse Power Inc.,Cooperative,Electric cooperative
Georgia,Diverse Power Inc. - Pataula District,Cooperative,Electric cooperative district
Georgia,Excelsior EMC,Cooperative,Electric membership corporation
Georgia,Flint Energies,Cooperative,Electric cooperative
Georgia,Grady EMC,Cooperative,Electric membership corporation
Georgia,GreyStone Power Corp.,Cooperative,Electric cooperative
Georgia,Habersham EMC,Cooperative,Electric membership corporation
Georgia,Hart EMC,Cooperative,Electric membership corporation
Georgia,Irwin EMC,Cooperative,Electric membership corporation
Georgia,Jackson EMC,Cooperative,Electric membership corporation
Georgia,Jefferson Energy Cooperative,Cooperative,Electric cooperative
Georgia,Little Ocmulgee EMC,Cooperative,Electric membership corporation
Georgia,Middle Georgia EMC,Cooperative,Electric membership corporation
Georgia,Mitchell EMC,Cooperative,Electric membership corporation
Georgia,North Georgia EMC,Cooperative,Electric membership corporation
Georgia,Ocmulgee EMC,Cooperative,Electric membership corporation
Georgia,Oconee EMC,Cooperative,Electric membership corporation
Georgia,Okefenoke REMC,Cooperative,Rural electric membership corp
Georgia,Planters EMC,Cooperative,Electric membership corporation
Georgia,Rayle EMC,Cooperative,Electric membership corporation
Georgia,Satilla REMC,Cooperative,Rural electric membership corp
Georgia,Sawnee EMC,Cooperative,Electric membership corporation
Georgia,Slash Pine EMC,Cooperative,Electric membership corporation
Georgia,Snapping Shoals EMC,Cooperative,Electric membership corporation
Georgia,Southern Rivers Energy,Cooperative,Electric cooperative
Georgia,Sumter EMC,Cooperative,Electric membership corporation
Georgia,Three Notch EMC,Cooperative,Electric membership corporation
Georgia,Tri-County EMC,Cooperative,Electric membership corporation
Georgia,Tri-State EMC,Cooperative,Electric membership corporation
Georgia,Upson EMC,Cooperative,Electric membership corporation
Georgia,Walton EMC,Cooperative,Electric membership corporation
Georgia,Washington EMC,Cooperative,Electric membership corporation
Georgia,Oglethorpe Power,Cooperative,G&T cooperative
Georgia,Tennessee Valley Authority (TVA),Public,Federal agency (small portion)
Hawaii,Hawaiian Electric Company (HECO),Private (IOU),Serves Oahu
Hawaii,Hawaiian Electric Light Company (HELCO),Private (IOU),Island of Hawaii
Hawaii,Maui Electric Company (MECO),Private (IOU),Maui County
Hawaii,Kauai Island Utility Cooperative (KIUC),Cooperative,"Serves Kauai, 5% of state population"
Idaho,IDACORP (Idaho Power Company),Private (IOU),"Major utility, Boise metro"
Idaho,PacifiCorp (Rocky Mountain Power),Private (IOU),Southeastern Idaho
Idaho,Avista Corporation,Private (IOU),Northern Idaho
Idaho,Idaho Falls Power,Public,Municipal since 1900
Idaho,Clearwater Power,Cooperative,Electric cooperative
Idaho,Fall River Rural Electric Cooperative,Cooperative,Rural electric cooperative
Idaho,Raft River Rural Electric Cooperative,Cooperative,Rural electric cooperative
Idaho,Salmon River Electric Cooperative,Cooperative,Rural electric cooperative
Idaho,Lower Valley Energy,Cooperative,Electric cooperative
Idaho,Kootenai Electric Cooperative,Cooperative,Electric cooperative
Illinois,Commonwealth Edison (ComEd),Private (IOU),"Exelon subsidiary, 3.8M+ customers"
Illinois,Ameren Illinois,Private (IOU),1.2M electric/816K gas customers
Illinois,Champion Energy,Private (IOU),Competitive supplier
Illinois,Direct Energy,Private (IOU),Competitive supplier
Illinois,"City Water, Light & Power",Public,Springfield municipal
Illinois,Coles Moultrie Electric Cooperative,Cooperative,Electric cooperative
Illinois,Prairie State Generating Company,Cooperative,Generation company
Illinois,Sullivan Electric Company,Cooperative,Electric company
Indiana,Northern Indiana Public Service Company (NIPSCO),Private (IOU),468K electric/821K gas customers
Indiana,AES Indiana (formerly IPL),Private (IOU),"487,000 customers"
Indiana,Duke Energy Indiana,Private (IOU),"813,000 customers"
Indiana,American Electric Power (Indiana Michigan Power),Private (IOU),"463,000 customers"
Indiana,CenterPoint Energy,Private (IOU),"148,000 customers, SW Indiana"
Indiana,Cinergy Corporation,Private (IOU),Utility holding company
Indiana,Citizens Energy Group,Public,"Indianapolis, not-for-profit trust"
Indiana,Indiana Municipal Power Agency (IMPA),Public,Joint action agency
Indiana,Hoosier Energy,Cooperative,G&T cooperative
Iowa,MidAmerican Energy Company,Private (IOU),"820,000 electric customers"
Iowa,Alliant Energy (Interstate Power and Light),Private (IOU),Regional utility
Iowa,Iowa Association of Municipal Utilities,Public,754 municipal utilities
Iowa,Iowa Association of Electric Cooperatives,Cooperative,Cooperative association
Kansas,Evergy,Private (IOU),"Major IOU, eastern Kansas"
Kansas,Southwestern Public Service Co.,Private (IOU),Xcel Energy subsidiary
Kansas,Black Hills Energy,Private (IOU),Regional utility
Kansas,Kansas City Board of Public Utilities (BPU),Public,Municipal system
Kansas,Kansas Municipal Energy Agency,Public,Joint action agency
Kansas,McPherson BPU,Public,Municipal system
Kansas,Kansas Electric Power Cooperative (KEPCo),Cooperative,G&T cooperative
Kansas,Sunflower Electric Power Corporation,Cooperative,G&T cooperative
Kansas,"Midwest Energy, Inc.",Cooperative,Electric cooperative
Kentucky,Louisville Gas and Electric (LG&E),Private (IOU),PPL Corp
Kentucky,Kentucky Utilities (KU),Private (IOU),PPL Corp
Kentucky,Duke Energy Kentucky,Private (IOU),Duke Energy subsidiary
Kentucky,Kentucky Power,Private (IOU),AEP subsidiary
Kentucky,American Electric Power,Private (IOU),Regional utility
Kentucky,Cinergy Corporation,Private (IOU),Utility holding company
Kentucky,Tennessee Valley Authority (TVA),Public,"Federal agency, portions of state"
Kentucky,Owensboro Municipal Utilities,Public,Municipal system
Louisiana,Entergy Louisiana,Private (IOU),MISO member
Louisiana,Entergy New Orleans,Private (IOU),Entergy subsidiary
Louisiana,CLECO Power,Private (IOU),Central Louisiana
Louisiana,SWEPCO,Private (IOU),AEP subsidiary
Louisiana,Lafayette Utilities System (LUS),Public,Municipal system
Louisiana,Beauregard Electric Co-op Inc.,Cooperative,Electric cooperative
Louisiana,Cajun Electric Power Co-op,Cooperative,G&T cooperative
Louisiana,Claiborne Electric Co-op,Cooperative,Electric cooperative
Louisiana,Concordia Electric Co-op,Cooperative,Electric cooperative
Louisiana,Dixie Electric Membership Corp.,Cooperative,Electric membership corp
Louisiana,Jefferson Davis Electric Co-op,Cooperative,Electric cooperative
Louisiana,Northeast Louisiana Power Cooperative,Cooperative,Electric cooperative
Louisiana,South Louisiana Electric Co-op,Cooperative,Electric cooperative
Louisiana,SLEMCO,Cooperative,Southwest LA Electric Membership Corp
Louisiana,WST Electric,Cooperative,Electric cooperative
Maine,AVANGRID (Central Maine Power),Private (IOU),"11,000 sq mile territory"
Maine,Versant Power,Private (IOU),"ENMAX subsidiary, northern/eastern"
Maine,Direct Energy,Private (IOU),Competitive supplier
Maryland,Baltimore Gas & Electric (BGE),Private (IOU),Baltimore metro
Maryland,Potomac Electric Power Company (PEPCO),Private (IOU),Montgomery & Prince George's counties
Maryland,Delmarva Power & Light,Private (IOU),Eastern Shore
Maryland,Potomac Edison Company,Private (IOU),Western Maryland
Maryland,FirstEnergy,Private (IOU),Multi-state utility
Maryland,Conectiv,Private (IOU),PEPCO subsidiary
Maryland,Champion Energy,Private (IOU),Competitive supplier
Maryland,Allegheny Electric Cooperative,Private (IOU),Electric cooperative
Maryland,A&N Electric Cooperative,Private (IOU),Electric cooperative
Maryland,Agway Energy Services,Private (IOU),Energy services
Maryland,Ambit Energy,Private (IOU),Competitive supplier
Maryland,Direct Energy,Private (IOU),Competitive supplier
Maryland,Just Energy,Private (IOU),Competitive supplier
Maryland,Berlin Electric Utility Department,Public,Municipal system
Maryland,Easton Utilities,Public,Municipal system
Maryland,Hagerstown Light Department,Public,Municipal system
Maryland,Town of Thurmont Municipal Light Company,Public,Municipal system
Maryland,Town of Williamsport Utilities,Public,Municipal system
Maryland,Choptank Electric Cooperative,Cooperative,Eastern Shore
Maryland,Southern Maryland Electric Cooperative (SMECO),Cooperative,Electric cooperative
Massachusetts,"Eversource Energy (NSTAR, WMECO)",Private (IOU),Eastern/central Massachusetts
Massachusetts,National Grid,Private (IOU),"Western/central, 1.2M customers"
Massachusetts,Unitil Corporation,Private (IOU),Fitchburg area
Massachusetts,Berkshire Company (WMECO),Private (IOU),Western Mass Electric
Massachusetts,Northeast Utilities,Private (IOU),Utility holding company
Massachusetts,Ashburnham Municipal Light,Public,Municipal light plant
Massachusetts,Belmont Municipal Light,Public,Municipal light plant
Massachusetts,Boylston Electric Light Department,Public,Municipal light plant
Massachusetts,Braintree Electric Light Department,Public,Municipal light plant
Massachusetts,Chester Municipal Electric Light,Public,Municipal light plant
Massachusetts,Chicopee Electric Light Department,Public,Municipal light plant
Massachusetts,Concord Municipal Light Plant,Public,Municipal light plant
Massachusetts,Danvers Electric Department,Public,Municipal light plant
Massachusetts,Georgetown Electric Department,Public,Municipal light plant
Massachusetts,Gosnold Municipal Electric Plant,Public,Municipal light plant
Massachusetts,Groton Electric Department,Public,Municipal light plant
Massachusetts,Groveland Light Department,Public,Municipal light plant
Massachusetts,Hingham Municipal Light Department,Public,Municipal light plant
Massachusetts,Holden Municipal Light Department,Public,Municipal light plant
Massachusetts,Holyoke Gas and Electric,Public,Municipal light plant
Massachusetts,Hudson Light and Water Department,Public,Municipal light plant
Massachusetts,Hull Electric Light Department,Public,Municipal light plant
Massachusetts,Ipswich Electric Light Department,Public,Municipal light plant
Massachusetts,Littleton Electric Light and Water Department,Public,Municipal light plant
Massachusetts,Mansfield Municipal Light Department,Public,Municipal light plant
Massachusetts,Marblehead Municipal Light Department,Public,Municipal light plant
Massachusetts,Merrimac Light and Water Department,Public,Municipal light plant
Massachusetts,Middleboro Municipal Gas and Electric Department,Public,Municipal light plant
Massachusetts,Middleton Municipal Light Department,Public,Municipal light plant
Massachusetts,North Attleboro Electric Department,Public,Municipal light plant
Massachusetts,Norwood Electric Light Department,Public,Municipal light plant
Massachusetts,Paxton Municipal Light Department,Public,Municipal light plant
Massachusetts,Peabody Municipal Light Plant,Public,Municipal light plant
Massachusetts,Princeton Electric Light Department,Public,Municipal light plant
Massachusetts,Reading Municipal Light Department,Public,Municipal light plant
Massachusetts,Rowley Electric Light Department,Public,Municipal light plant
Massachusetts,Russell Municipal Light Department,Public,Municipal light plant
Massachusetts,Shrewsbury Electric Light Department,Public,Municipal light plant
Massachusetts,South Hadley Electric Light Department,Public,Municipal light plant
Massachusetts,Sterling Electric Light Department,Public,Municipal light plant
Massachusetts,Taunton Municipal Light Plant,Public,Municipal light plant
Massachusetts,Templeton Municipal Light Company,Public,Municipal light plant
Massachusetts,Wakefield Municipal Gas and Light Department,Public,Municipal light plant
Massachusetts,Wellesley Municipal Light Plant,Public,Municipal light plant
Massachusetts,West Boylston Municipal Lighting,Public,Municipal light plant
Massachusetts,Westfield Gas and Electric Department,Public,Municipal light plant
Massachusetts,PTI Electric Department,Public,Municipal light plant
Massachusetts,Fairfield Electric cooperative,Cooperative,Electric cooperative
Michigan,DTE Energy (DTE Energy Electric Company),Private (IOU),"2.2M electric/1.3M gas, SE Michigan"
Michigan,Consumers Energy,Private (IOU),"6.7M customers, Lower Peninsula"
Michigan,American Electric Power (Indiana Michigan Power),Private (IOU),SW Michigan
Michigan,Upper Peninsula Power Company,Private (IOU),Upper Peninsula
Michigan,We Energies,Private (IOU),Regional utility
Michigan,Alpena Power Company,Private (IOU),Regional utility
Michigan,Holland Board of Public Works,Public,Municipal system
Michigan,Lansing Board of Water & Light,Public,Municipal system
Michigan,Lowell Light and Power,Public,Municipal system
Michigan,Wyandotte Municipal Services,Public,Municipal system
Michigan,Great Lakes Energy Cooperative,Cooperative,"130K+ meters, 26 counties"
Michigan,Alger Delta Electric Cooperative,Cooperative,Electric cooperative
Michigan,Cherryland Electric Cooperative,Cooperative,Electric cooperative
Michigan,Cloverland Electric Cooperative,Cooperative,Acquired Edison Sault Electric 2009
Michigan,Homeworks Tri-County Electric Cooperative,Cooperative,Electric cooperative
Michigan,Midwest Energy & Communications,Cooperative,Electric cooperative
Michigan,Ontonagon County REA,Cooperative,Electric cooperative
Michigan,Presque Isle Electric & Gas Cooperative,Cooperative,Electric cooperative
Michigan,Thumb Electric Cooperative,Cooperative,Electric cooperative
Minnesota,Northern States Power Company (Xcel Energy),Private (IOU),Largest utility
Minnesota,Minnesota Power,Private (IOU),Northeastern Minnesota
Minnesota,Interstate Power and Light Company,Private (IOU),Alliant Energy
Minnesota,Otter Tail Power Company,Private (IOU),Regional utility
Minnesota,Hutchinson Utilities Commission,Public,Municipal system
Minnesota,Marshall Municipal Utilities,Public,Municipal system
Minnesota,Rochester Public Utilities Commission,Public,Municipal system
Minnesota,Southern Minnesota Municipal Power Agency,Public,Joint action agency
Minnesota,Willmar Municipal Utilities,Public,Municipal system
